timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1554109740208,289,HTTP Request,200,OK,Thread Group 1-4,text,true,,14958,118,10,10,237,0,120
1554109740208,289,HTTP Request,200,OK,Thread Group 1-5,text,true,,14968,118,10,10,237,0,119
1554109740208,289,HTTP Request,200,OK,Thread Group 1-2,text,true,,14969,118,10,10,237,0,119
1554109740208,298,HTTP Request,200,OK,Thread Group 1-3,text,true,,14931,118,10,10,237,0,120
1554109740500,112,HTTP Request,200,OK,Thread Group 1-2,text,true,,14985,118,10,10,91,0,0
1554109740500,113,HTTP Request,200,OK,Thread Group 1-4,text,true,,14990,118,10,10,91,0,0
1554109740500,116,HTTP Request,200,OK,Thread Group 1-5,text,true,,14975,118,8,8,94,0,0
1554109740208,408,HTTP Request,200,OK,Thread Group 1-7,text,true,,14951,118,8,8,275,0,119
1554109740507,116,HTTP Request,200,OK,Thread Group 1-3,text,true,,15011,118,7,7,97,0,0
1554109740208,415,HTTP Request,200,OK,Thread Group 1-1,text,true,,14949,118,7,7,276,0,119
1554109740208,424,HTTP Request,200,OK,Thread Group 1-8,text,true,,14914,118,6,6,289,0,119
1554109740208,425,HTTP Request,200,OK,Thread Group 1-6,text,true,,14925,118,6,6,289,0,121
1554109740208,426,HTTP Request,200,OK,Thread Group 1-9,text,true,,14928,118,6,6,294,0,120
1554109740208,434,HTTP Request,200,OK,Thread Group 1-10,text,true,,14977,118,6,6,308,0,120
1554109740616,137,HTTP Request,200,OK,Thread Group 1-7,text,true,,14985,118,6,6,116,0,0
1554109740624,133,HTTP Request,200,OK,Thread Group 1-1,text,true,,14957,118,5,5,114,0,0
1554109740633,141,HTTP Request,200,OK,Thread Group 1-6,text,true,,14983,118,4,4,119,0,0
1554109740635,139,HTTP Request,200,OK,Thread Group 1-9,text,true,,15001,118,4,4,114,0,0
1554109740643,135,HTTP Request,200,OK,Thread Group 1-10,text,true,,14978,118,2,2,111,0,0
1554109740632,261,HTTP Request,200,OK,Thread Group 1-8,text,true,,14942,118,1,1,241,0,0
